0,0
1,1
2,6
3,7
4,0
5,7
6,6
7,0
8,0
9,0
10,7
11,4
12,8
13,6
14,8
15,6
16,0
17,3
18,8
19,2
20,3
21,0
22,0
23,0
24,4
25,1
26,8
27,3
28,4
29,2
30,2
31,8
32,6
33,1
34,8
35,2
36,8
37,1
38,8
39,6
40,7
41,0
42,8
43,8
44,5
45,1
46,9
47,6
48,5
49,9
50,4
51,0
52,7
53,9
54,8
55,2
56,3
57,5
58,3
59,3
60,6
61,8
62,3
63,3
64,6
65,3
66,5
67,9
68,0
69,4
70,3
71,8
72,7
73,9
74,7
75,5
76,3
77,0
78,0
79,2
80,2
81,7
82,7
83,9
84,7
85,8
86,5
87,3
88,9
89,1
90,4
91,5
92,5
93,0
94,2
95,3
96,3
97,3
98,7
99,8
100,6
101,2
102,7
103,1
104,0
105,1
106,6
107,7
108,0
109,1
110,9
111,0
112,5
113,3
114,9
