0,0
1,1
2,2
3,3
4,0
5,3
6,2
7,4
8,4
9,0
10,3
11,5
12,6
13,2
14,6
15,2
16,0
17,7
18,6
19,8
20,7
21,4
22,4
23,0
24,5
25,1
26,6
27,7
28,5
29,8
30,8
31,6
32,2
33,1
34,6
35,8
36,6
37,1
38,6
39,2
40,3
41,0
42,6
43,6
44,9
45,1
46,0
47,2
48,9
49,0
50,5
51,4
52,3
53,0
54,6
55,8
56,7
57,9
58,7
59,7
60,2
61,6
62,7
63,7
64,2
65,7
66,9
67,0
68,4
69,5
70,7
71,6
72,3
73,0
74,3
75,9
76,7
77,4
78,4
79,8
80,8
81,3
82,8
83,0
84,3
85,6
86,9
87,7
88,0
89,1
90,5
91,9
92,9
93,0
94,8
95,7
96,7
97,9
98,3
99,6
100,2
101,8
102,3
103,1
104,0
105,1
106,2
107,3
108,4
109,1
110,0
111,4
112,9
113,7
114,0
