0,0
1,1
2,2
3,3
4,0
5,3
6,2
7,4
8,4
9,0
10,3
11,5
12,4
13,2
14,4
15,2
16,0
17,6
18,4
19,7
20,6
21,4
22,4
23,0
24,5
25,1
26,4
27,6
28,5
29,7
30,7
31,4
32,2
33,1
34,4
35,7
36,4
37,1
38,4
39,2
40,3
41,0
42,4
43,4
44,8
45,1
46,9
47,2
48,10
49,9
50,5
51,4
52,3
53,9
54,4
55,7
56,6
57,10
58,6
59,6
60,2
61,4
62,6
63,6
64,2
65,6
66,8
67,9
68,4
69,5
70,6
71,4
72,3
73,9
74,3
75,10
76,6
77,4
78,4
79,7
80,7
81,3
82,7
83,9
84,3
85,4
86,10
87,6
88,9
89,1
90,5
91,8
92,8
93,0
94,7
95,6
96,6
97,8
98,3
99,4
100,2
101,7
102,3
103,1
104,0
105,1
106,2
107,3
108,4
109,1
110,9
111,4
112,10
113,6
114,9
