0,0
1,1
2,2
3,3
4,0
5,3
6,2
7,3
8,3
9,0
10,3
11,4
12,5
13,2
14,5
15,2
16,0
17,6
18,5
19,7
20,6
21,3
22,3
23,0
24,4
25,1
26,5
27,6
28,4
29,7
30,7
31,5
32,2
33,1
34,5
35,7
36,8
37,1
38,5
39,2
40,3
41,0
42,8
43,5
44,9
45,1
46,10
47,2
48,9
49,10
50,4
51,3
52,3
53,10
54,5
55,7
56,6
57,9
58,8
59,8
60,2
61,5
62,6
63,8
64,2
65,6
66,9
67,10
68,3
69,4
70,6
71,5
72,3
73,10
74,3
75,9
76,6
77,3
78,3
79,7
80,7
81,3
82,7
83,10
84,3
85,5
86,9
87,6
88,10
89,1
90,4
91,9
92,9
93,0
94,7
95,6
96,6
97,8
98,3
99,5
100,2
101,7
102,3
103,1
104,0
105,1
106,2
107,3
108,3
109,1
110,10
111,3
112,9
113,6
114,10
