0,0
1,1
2,0
3,0
4,0
5,0
6,2
7,2
8,2
9,2
10,0
11,2
12,3
13,0
14,3
15,2
16,0
17,0
18,3
19,1
20,0
21,2
22,2
23,0
24,2
25,1
26,3
27,0
28,2
29,1
30,1
31,3
32,0
33,1
34,3
35,1
36,3
37,4
38,3
39,2
40,0
41,0
42,3
43,3
44,0
45,1
46,2
47,2
48,0
49,0
50,2
51,2
52,0
53,0
54,3
55,1
56,0
57,0
58,0
59,2
60,2
61,0
62,0
63,2
64,2
65,0
66,0
67,0
68,2
69,2
70,0
71,3
72,0
73,0
74,0
75,0
76,0
77,2
78,2
79,1
80,4
81,0
82,0
83,0
84,0
85,3
86,0
87,0
88,0
89,1
90,2
91,0
92,0
93,0
94,1
95,0
96,0
97,2
98,0
99,3
100,0
101,1
102,0
103,1
104,0
105,4
106,2
107,0
108,0
109,1
110,0
111,2
112,0
113,0
114,0
