0   1
25   1
30   1
31   1
32   1
36   1
55   1
59   1
66   1
77   1
79   1
90   1
91   1
93   1
101   1
109   1
125   1
164   1
167   1
192   1
1   2
8   2
34   2
35   2
41   2
48   2
78   2
87   2
99   2
117   2
118   2
122   2
129   2
132   2
148   2
157   2
160   2
173   2
176   2
186   2
2   3
4   3
12   3
22   3
46   3
49   3
63   3
64   3
73   3
95   3
105   3
120   3
138   3
143   3
159   3
172   3
177   3
183   3
198   3
199   3
3   4
5   4
6   4
13   4
17   4
20   4
52   4
58   4
65   4
69   4
71   4
85   4
100   4
103   4
107   4
126   4
165   4
185   4
196   4
197   4
7   5
9   5
23   5
24   5
28   5
44   5
61   5
67   5
68   5
76   5
80   5
83   5
106   5
110   5
116   5
128   5
133   5
139   5
175   5
184   5
10   6
29   6
37   6
42   6
72   6
74   6
81   6
82   6
84   6
88   6
111   6
112   6
113   6
119   6
150   6
151   6
153   6
161   6
169   6
188   6
11   7
14   7
19   7
33   7
39   7
57   7
60   7
62   7
75   7
130   7
134   7
136   7
145   7
146   7
147   7
152   7
155   7
174   7
191   7
193   7
15   8
27   8
40   8
43   8
47   8
50   8
51   8
92   8
94   8
96   8
115   8
127   8
141   8
142   8
149   8
158   8
166   8
168   8
180   8
194   8
16   9
21   9
53   9
54   9
89   9
97   9
98   9
114   9
121   9
123   9
137   9
140   9
144   9
156   9
162   9
179   9
181   9
182   9
190   9
195   9
18   10
26   10
38   10
45   10
56   10
70   10
86   10
102   10
104   10
108   10
124   10
131   10
135   10
154   10
163   10
170   10
171   10
178   10
187   10
189   10
